x, y, vx, vy
-57.4765, 75.9227, -6.06329, -6.06329
-57.5068, 75.9631, -6.06332, -6.06332
-57.5371, 76.0036, -6.06336, -6.06336
-57.5674, 76.0441, -6.06339, -6.06339
-57.5978, 76.0845, -6.06342, -6.06342
-57.6281, 76.125, -6.06346, -6.06346
-57.6584, 76.1655, -6.06349, -6.06349
-57.6887, 76.2059, -6.06352, -6.06352
-57.719, 76.2464, -6.06356, -6.06356
-57.7493, 76.2869, -6.06359, -6.06359
-57.7797, 76.3273, -6.06362, -6.06362
-57.81, 76.3678, -6.06365, -6.06365
-57.8403, 76.4083, -6.06369, -6.06369
-57.8706, 76.4487, -6.06372, -6.06372
-57.9009, 76.4892, -6.06375, -6.06375
-57.9313, 76.5297, -6.06379, -6.06379
-57.9616, 76.5702, -6.06382, -6.06382
-57.9919, 76.6106, -6.06385, -6.06385
-58.0222, 76.6511, -6.06388, -6.06388
-58.0525, 76.6916, -6.06392, -6.06392
-58.0829, 76.7321, -6.06395, -6.06395
-58.1132, 76.7725, -6.06398, -6.06398
-58.1435, 76.813, -6.06401, -6.06401
-58.1738, 76.8535, -6.06405, -6.06405
-58.2041, 76.894, -6.06408, -6.06408
-58.2345, 76.9344, -6.06411, -6.06411
-58.2648, 76.9749, -6.06414, -6.06414
-58.2951, 77.0154, -6.06418, -6.06418
-58.3254, 77.0558, -6.06421, -6.06421
-58.3557, 77.0963, -6.06424, -6.06424
-58.3861, 77.1368, -6.06427, -6.06427
-58.4164, 77.1773, -6.06431, -6.06431
-58.4467, 77.2177, -6.06434, -6.06434
-58.477, 77.2582, -6.06437, -6.06437
-58.5073, 77.2987, -6.0644, -6.0644
-58.5377, 77.3392, -6.06443, -6.06443
-58.568, 77.3796, -6.06447, -6.06447
-58.5983, 77.4201, -6.0645, -6.0645
-58.6286, 77.4606, -6.06453, -6.06453
-58.659, 77.5011, -6.06456, -6.06456
-58.6893, 77.5415, -6.06459, -6.06459
-58.7196, 77.582, -6.06463, -6.06463
-58.7499, 77.6225, -6.06466, -6.06466
-58.7803, 77.663, -6.06469, -6.06469
-58.8106, 77.7034, -6.06472, -6.06472
-58.8409, 77.7439, -6.06475, -6.06475
-58.8712, 77.7844, -6.06479, -6.06479
-58.9015, 77.8249, -6.06482, -6.06482
-58.9319, 77.8653, -6.06485, -6.06485
-58.9622, 77.9058, -6.06488, -6.06488
-58.9925, 77.9463, -6.06491, -6.06491
-59.0228, 77.9868, -6.06494, -6.06494
-59.0532, 78.0273, -6.06497, -6.06497
-59.0835, 78.0677, -6.06501, -6.06501
-59.1138, 78.1082, -6.06504, -6.06504
-59.1441, 78.1487, -6.06507, -6.06507
-59.1745, 78.1892, -6.0651, -6.0651
-59.2048, 78.2297, -6.06513, -6.06513
-59.2351, 78.2702, -6.06516, -6.06516
-59.2654, 78.3106, -6.0652, -6.0652
-59.2958, 78.3511, -6.06523, -6.06523
-59.3261, 78.3916, -6.06526, -6.06526
-59.3564, 78.4321, -6.06529, -6.06529
-59.3868, 78.4726, -6.06532, -6.06532
-59.4171, 78.513, -6.06535, -6.06535
-59.4474, 78.5535, -6.06538, -6.06538
